Ime sestavine,Kolicina,Enota
dobro olivno olje,1,kos
srednje velikih svežih škampov,10.0,kos
nekaj strokov česna,1,kos
domače paradižnikove mezge,4.0,kos
sol; poper; pol malega peperončina,1,kos
malo naribane bio limonine lupinice,1,kos
dobro olivno olje,1,kos
pol kozarca brandyja,1,kos
zelenjava (malo pora; mala šalotka; malo peteršilja; strok česna; 7 majhnih paradižnikov daterinov),1,kos
sol mleti poper; pol malega peperončina,1,kos
moke,100.0,g
jajce,1.0,kos
soli,1.0,kos
olivnega olja,1.0,kos
sipinega črnila,5.0,g
moke,20.0,g
olivnega olja,25.0,g
vode,0.16,l
